,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
27,Severodvinsk,75,RU,1600832617,75,64.56,39.83,46.4,8.95
28,Port Elizabeth,0,ZA,1600832363,81,-33.92,25.57,42.8,3.36
29,Airai,14,TL,1600832619,45,-8.93,125.41,79.83,6.6
30,Qaanaaq,3,GL,1600832622,80,77.48,-69.36,12.11,10.09
31,Taltal,31,CL,1600832624,71,-25.4,-70.48,57.83,3.98
32,Nanortalik,0,GL,1600832625,75,60.14,-45.24,36.52,8.9
33,Kapaa,20,US,1600832627,70,22.08,-159.32,84.2,14.99
34,Mayumba,100,GA,1600832628,87,-3.43,10.66,74.53,7.2
35,New Norfolk,84,AU,1600832630,63,-42.78,147.06,55.0,3.0
36,Presidencia Roque Sáenz Peña,0,AR,1600832631,47,-26.79,-60.44,57.27,6.15
37,Albany,4,US,1600832604,56,42.6,-73.97,57.0,10.0
38,Butaritari,1,KI,1600832633,78,3.07,172.79,82.06,15.48
39,Puerto Ayora,47,EC,1600832636,85,-0.74,-90.35,66.99,5.99
40,Narsaq,20,GL,1600832637,26,60.92,-46.05,33.8,13.87
41,Aklavik,75,CA,1600832639,87,68.22,-135.01,42.8,3.36
42,Byron Bay,88,AU,1600832640,36,-28.65,153.62,84.99,13.87
43,Bluff,37,NZ,1600832642,81,-46.6,168.33,55.99,11.01
44,Gao,17,ML,1600832578,40,16.64,1.64,86.07,5.88
45,Pucallpa,86,PE,1600832645,91,-8.38,-74.55,72.57,1.32
46,Saint George,1,US,1600832567,18,37.1,-113.58,82.0,4.7
47,Marsh Harbour,76,BS,1600832647,70,26.54,-77.06,79.34,19.39
48,Eydhafushi,85,MV,1600832649,76,5.1,73.07,82.06,13.04
49,Watertown,1,US,1600832650,44,42.37,-71.18,60.01,10.29
50,Hornepayne,38,CA,1600832651,96,49.21,-84.77,51.8,5.17
51,Jamestown,1,US,1600832599,76,42.1,-79.24,53.6,10.29
52,Arraial do Cabo,100,BR,1600832656,85,-22.97,-42.03,68.07,17.69
53,George Town,20,MY,1600832623,70,5.41,100.34,86.0,3.36
54,Mataura,77,NZ,1600832658,81,-46.19,168.86,55.99,11.01
55,Saint Paul Harbor,90,US,1600832660,87,57.79,-152.41,50.0,12.75
56,Bengkulu,9,ID,1600832661,65,-3.8,102.27,86.09,8.16
57,Beringovskiy,31,RU,1600832664,62,63.05,179.32,45.25,2.95
58,São Filipe,12,CV,1600832667,80,14.9,-24.5,80.11,2.3
59,Saldanha,0,ZA,1600832668,87,-33.01,17.94,50.0,8.05
60,Filoti,0,GR,1600832669,73,37.05,25.5,71.6,10.29
61,Marawi,3,PH,1600832670,74,8.0,124.29,84.99,7.0
62,Atar,6,MR,1600832672,34,20.52,-13.05,89.15,3.4
63,Buchanan,83,LR,1600832673,89,5.88,-10.05,75.78,6.29
64,Shalazhi,90,RU,1600832674,93,43.1,45.36,57.2,2.24
65,Auki,86,SB,1600832675,70,-8.77,160.7,84.51,1.83
66,Port Hawkesbury,90,CA,1600832676,93,45.62,-61.35,66.2,17.22
67,Faanui,32,PF,1600832678,81,-16.48,-151.75,78.44,17.98
68,Stromness,72,GB,1600832680,87,58.97,-3.3,42.8,5.82
69,Teknāf,89,BD,1600832681,85,20.86,92.31,83.97,11.18
70,Mahébourg,40,MU,1600832682,77,-20.41,57.7,69.8,10.29
71,Gunjur,40,GM,1600832684,94,13.2,-16.73,78.8,8.81
72,Avarua,99,CK,1600832685,88,-21.21,-159.78,78.8,10.29
73,Sibolga,91,ID,1600832686,81,1.74,98.78,81.32,5.48
74,Fortuna,1,US,1600832688,93,40.6,-124.16,59.0,2.26
75,Ribeira Grande,100,PT,1600832690,81,38.52,-28.7,68.13,25.08
76,Norman Wells,20,CA,1600832691,50,65.28,-126.83,53.6,4.7
77,Castro,72,BR,1600832692,86,-24.79,-50.01,50.83,11.41
78,Thompson,90,CA,1600832693,70,55.74,-97.86,48.2,4.7
79,Minden,7,DE,1600832694,81,52.28,8.92,57.0,4.7
80,Polunochnoye,95,RU,1600832696,87,60.87,60.42,40.93,11.21
81,Homer,90,US,1600832697,76,59.64,-151.55,51.8,11.41
82,Klaksvík,69,FO,1600832698,93,62.23,-6.59,37.4,5.82
83,Dabat,82,ET,1600832699,71,12.98,37.77,53.85,1.63
84,Tasiilaq,100,GL,1600832700,74,65.61,-37.64,28.4,4.7
85,Lorengau,96,PG,1600832702,67,-2.02,147.27,85.93,10.36
86,Broken Hill,75,AU,1600832703,36,-31.95,141.43,62.6,19.46
87,Longyearbyen,40,SJ,1600832705,69,78.22,15.64,33.8,6.93
88,Aras,3,ES,1600832706,87,42.56,-2.36,55.4,1.12
89,Pevek,99,RU,1600832708,96,69.7,170.31,38.93,14.94
90,Paka,20,MY,1600832709,66,4.64,103.44,89.6,5.82
91,Spirit River,75,CA,1600832711,71,55.78,-118.84,50.0,8.05
92,Ponta do Sol,20,PT,1600832712,83,32.67,-17.1,75.2,5.82
93,Léogâne,70,HT,1600832713,88,18.51,-72.63,80.6,1.12
94,Blackpool,100,GB,1600832715,86,53.82,-3.05,55.99,1.01
95,Paamiut,4,GL,1600832716,80,61.99,-49.67,32.47,9.22
96,Dakar,40,SN,1600832717,83,14.69,-17.44,82.4,2.24
97,Aksu,56,CN,1600832718,23,41.12,80.26,70.84,2.1
98,Coquimbo,90,CL,1600832720,100,-29.95,-71.34,51.8,2.24
99,Hilo,75,US,1600832461,61,19.73,-155.09,82.4,6.93
100,Tuktoyaktuk,90,CA,1600832722,93,69.45,-133.04,37.4,5.82
101,Cabo San Lucas,25,MX,1600832723,68,22.89,-109.91,86.0,1.01
102,Bredasdorp,22,ZA,1600832724,100,-34.53,20.04,44.6,3.36
103,Zemio,99,CF,1600832726,96,5.03,25.14,68.18,1.57
104,Kloulklubed,75,PW,1600832727,66,7.04,134.26,87.8,9.17
105,Yershov,3,RU,1600832728,72,51.35,48.28,54.7,12.55
106,Ghugus,100,IN,1600832729,88,19.93,79.13,79.81,11.23
107,Chumikan,37,RU,1600832731,56,54.72,135.31,60.73,2.64
108,Mattru,83,SL,1600832732,97,7.62,-11.83,73.69,2.57
109,Barletta,40,IT,1600832733,82,41.31,16.29,68.0,2.24
110,Panama City,100,PA,1600832734,100,8.99,-79.52,77.0,3.36
111,Mwene-Ditu,73,CD,1600832736,85,-7.0,23.45,67.78,2.68
112,Kaohsiung City,75,TW,1600832526,66,22.62,120.31,89.6,10.29
113,Port Alfred,0,ZA,1600832503,72,-33.59,26.89,55.98,4.21
114,Picota,39,PE,1600832739,91,-6.92,-76.33,71.56,0.2
115,Devarkonda,22,IN,1600832741,74,16.7,78.93,80.28,19.28
116,Arnoldstein,93,AT,1600832742,97,46.55,13.71,60.01,3.0
117,Tilichiki,1,RU,1600832744,56,60.47,166.1,45.48,2.71
118,Kudahuvadhoo,99,MV,1600832745,72,2.67,72.89,82.76,9.19
119,Saint-Augustin,98,CA,1600832747,64,51.23,-58.65,49.51,6.73
120,Asău,4,RO,1600832748,85,46.43,26.4,51.01,3.6
121,Bedēsa,29,ET,1600832749,82,8.9,40.78,62.82,4.47
122,Torbay,90,CA,1600832750,100,47.67,-52.73,55.99,18.34
123,Salym,100,RU,1600832752,80,60.06,71.48,40.77,14.12
124,Quatre Cocos,40,MU,1600832753,77,-20.21,57.76,71.01,10.29
125,Barrow,90,US,1600832754,93,71.29,-156.79,32.0,19.46
126,Izumo,75,JP,1600832755,69,35.37,132.77,77.0,16.11
127,Jinxiang,91,CN,1600832756,69,22.86,115.7,89.01,7.74
128,Marystown,100,CA,1600832758,100,47.17,-55.15,59.0,10.0
129,Sharan,91,RU,1600832759,87,54.82,54.0,53.26,16.75
130,Royan,33,FR,1600832760,100,45.63,-1.03,66.2,3.36
131,Monroe,40,US,1600832762,81,43.15,-77.68,59.0,8.05
132,La Ronge,20,CA,1600832763,86,55.1,-105.28,41.0,2.1
133,Cap Malheureux,10,MU,1600832764,73,-19.98,57.61,71.01,3.0
134,Bosaso,93,SO,1600832765,48,11.28,49.18,91.29,10.92
135,Cidreira,0,BR,1600832767,77,-30.18,-50.21,59.05,19.08
136,Nakambala,0,ZM,1600832768,71,-15.83,27.78,60.19,8.7
137,Grand Gaube,16,MU,1600832769,73,-20.01,57.66,71.01,3.0
138,Vao,1,NC,1600832771,78,-22.67,167.48,70.48,11.59
139,Lusambo,1,CD,1600832772,92,-4.97,23.45,69.08,1.66
140,Kolobovo,83,RU,1600832773,89,56.7,41.34,49.93,6.51
141,Kaniama,44,CD,1600832774,84,-7.57,24.18,69.12,3.27
142,Bethel,1,US,1600832776,58,41.37,-73.41,57.0,5.82
143,Roald,71,NO,1600832777,82,62.58,6.13,57.2,18.34
144,Deputatsky,6,RU,1600832778,61,69.3,139.9,45.68,10.49
145,Nikolskoye,90,RU,1600832779,93,59.7,30.79,50.0,2.24
146,Yerbogachën,0,RU,1600832781,61,61.28,108.01,55.42,4.52
147,Caruray,20,PH,1600832782,70,10.31,119.01,87.8,6.93
148,Ahipara,30,NZ,1600832783,75,-35.17,173.17,62.46,13.47
149,Mehamn,20,NO,1600832784,81,71.04,27.85,42.8,18.34
150,Muros,79,ES,1600832786,91,42.78,-9.06,64.0,1.99
151,Vaini,75,TO,1600832787,83,-21.2,-175.2,75.2,12.75
152,Amapá,18,BR,1600832788,96,1.0,-52.0,70.12,2.24
153,Bilibino,100,RU,1600832790,84,68.05,166.44,35.71,3.76
154,Provideniya,75,RU,1600832791,61,64.38,-173.3,46.4,13.42
155,Leningradskiy,100,RU,1600832792,87,69.38,178.42,40.08,18.52
156,Fairbanks,1,US,1600832639,47,64.84,-147.72,55.4,4.29
157,Port Macquarie,0,AU,1600832579,29,-31.43,152.92,82.0,7.45
158,Porto-Novo,100,BJ,1600832796,86,6.5,2.6,76.75,7.67
159,Constitución,34,CL,1600832797,76,-35.33,-72.42,53.15,6.4
160,Meulaboh,58,ID,1600832798,85,4.14,96.13,81.1,11.77
161,Half Moon Bay,1,US,1600832799,87,37.46,-122.43,66.99,3.85
162,Snåase,100,NO,1600832802,81,64.25,12.38,49.59,3.49
163,Khatanga,21,RU,1600832803,51,71.97,102.5,53.4,19.1
164,Safaga,0,EG,1600832804,45,26.73,33.94,82.4,9.17
165,Pangnirtung,100,CA,1600832806,79,66.15,-65.71,33.22,6.31
166,Karratha,0,AU,1600832807,12,-20.74,116.85,90.66,20.56
167,Gravdal,75,NO,1600832808,93,68.12,13.5,42.8,8.05
168,San Patricio,100,MX,1600832809,86,19.22,-104.7,79.27,5.32
169,Kamaishi,75,JP,1600832811,61,39.27,141.88,77.0,5.82
170,Machalí,100,CL,1600832812,58,-34.18,-70.67,57.09,1.7
171,Upernavik,100,GL,1600832813,95,72.79,-56.15,25.54,9.26
172,Mackay,10,AU,1600832814,61,-21.15,149.2,82.4,14.99
173,Sitka,90,US,1600832549,58,57.05,-135.33,57.2,20.8
174,Cherskiy,100,RU,1600832817,87,68.75,161.3,41.77,2.44
175,San Juan,57,AR,1600832819,32,-31.54,-68.54,60.08,2.91
176,Forsytheganj,0,BY,1600832821,70,52.63,29.73,51.85,6.4
177,Saint-Pierre,5,RE,1600832822,46,-21.34,55.48,71.6,5.82
178,Bud,1,US,1600832823,87,39.45,-86.18,60.01,4.79
179,Atuona,30,PF,1600832824,72,-9.8,-139.03,78.39,20.29
180,Xichang,100,CN,1600832826,77,27.9,102.26,61.47,2.86
181,East London,0,ZA,1600832827,76,-33.02,27.91,53.6,2.24
182,Vostok,77,RU,1600832828,61,46.49,135.88,61.18,2.3
183,Hoquiam,1,US,1600832829,77,46.98,-123.89,60.8,6.93
184,Robertsport,75,LR,1600832831,87,6.75,-11.37,77.2,8.99
185,Anadyr,44,RU,1600832832,61,64.75,177.48,48.2,13.42
186,Itupiranga,19,BR,1600832533,72,-5.13,-49.33,77.77,1.03
187,Esmeralda,100,CU,1600832834,94,21.85,-78.12,77.0,10.29
188,Pisco,0,PE,1600832835,82,-13.7,-76.22,60.01,2.24
189,Ancud,1,CL,1600832837,88,-41.87,-73.82,46.0,1.01
190,Russell,90,US,1600832839,68,32.35,-85.2,68.0,2.95
191,Departamento de Maldonado,80,UY,1600832666,76,-34.67,-54.92,51.8,5.82
192,Tairua,44,NZ,1600832841,60,-37.02,175.85,66.99,10.0
193,Kruisfontein,20,ZA,1600832844,75,-34.0,24.73,47.43,2.04
194,Allada,100,BJ,1600832845,94,6.67,2.15,73.45,4.5
195,Aripuanã,83,BR,1600832846,91,-9.17,-60.63,74.28,1.41
196,Manono,76,CD,1600832847,75,-7.3,27.42,70.16,1.61
197,Diébougou,100,BF,1600832848,94,10.97,-3.25,72.57,1.07
198,Katsuura,100,JP,1600832644,89,35.13,140.3,72.0,1.01
199,Ilulissat,0,GL,1600832851,79,69.22,-51.1,24.8,2.24
200,Cape Town,11,ZA,1600832853,87,-33.93,18.42,57.0,12.75
201,Perth,0,AU,1600832665,43,-31.93,115.83,75.0,9.17
202,Bandarbeyla,16,SO,1600832855,60,9.49,50.81,81.14,23.44
203,Khani,6,GE,1600832857,82,41.96,42.96,62.6,6.93
204,La Santisima Trinidad,9,BO,1600832859,43,-14.83,-64.9,74.41,2.93
205,Chokurdakh,37,RU,1600832863,66,70.63,147.92,48.96,8.77
206,Várzea Grande,33,BR,1600832866,48,-15.65,-56.13,82.4,4.7
207,Beroroha,0,MG,1600832871,64,-21.67,45.17,71.19,5.41
208,Kalmunai,81,LK,1600832873,57,7.42,81.82,87.13,4.09
209,Shubarshi,28,KZ,1600832876,50,48.59,57.19,57.24,18.86
210,Methóni,0,GR,1600832878,93,36.82,21.7,72.0,5.82
211,Ostrovnoy,60,RU,1600832880,90,68.05,39.51,39.97,10.65
212,Lompoc,90,US,1600832705,93,34.64,-120.46,57.2,5.82
213,Dikson,91,RU,1600832886,85,73.51,80.55,41.52,15.41
214,Lae,53,PG,1600832889,59,-6.72,146.98,85.39,9.37
215,Lata,75,PT,1600832892,93,40.16,-8.33,66.2,8.05
216,Thunder Bay,5,CA,1600832643,93,48.4,-89.32,55.99,4.7
217,Yar-Sale,10,RU,1600832896,77,66.83,70.83,40.64,16.08
218,Dickinson,90,US,1600832898,100,29.46,-95.05,75.99,8.05
219,Tokur,0,RU,1600832901,45,53.13,132.9,61.9,0.76
220,Mahrīz,0,IR,1600832903,36,31.59,54.43,64.4,2.24
221,Avera,1,US,1600832906,100,33.19,-82.53,59.0,1.86
222,Yulara,0,AU,1600832908,19,-25.24,130.99,77.0,17.22
223,Panzhihua,100,CN,1600832909,82,26.59,101.71,65.79,4.38
224,Keffi,20,NG,1600832912,94,8.85,7.87,73.4,2.24
225,Lüshunkou,40,CN,1600832914,60,38.8,121.27,73.4,8.95
226,Saint-Philippe,30,RE,1600832917,46,-21.36,55.77,71.6,5.82
227,Hirara,40,JP,1600832918,70,24.8,125.28,86.0,10.29
228,Rafsanjān,0,IR,1600832921,31,30.41,55.99,66.72,6.76
229,Kaoma,0,ZM,1600832922,44,-14.78,24.8,62.02,8.57
230,Kharan,0,PK,1600832927,28,28.58,65.42,72.21,6.13
231,Örnsköldsvik,73,SE,1600832929,93,63.29,18.72,50.0,6.93
232,Otorohanga,100,NZ,1600832934,70,-38.18,175.2,61.0,8.99
233,Bambous Virieux,40,MU,1600832936,77,-20.34,57.76,71.01,10.29
234,Tual,100,ID,1600832938,80,-5.67,132.75,80.51,14.99
235,Viedma,76,AR,1600832940,53,-40.81,-63.0,46.74,6.17
236,Bonthe,57,SL,1600832942,88,7.53,-12.51,76.96,6.2
237,Tortolì,5,IT,1600832945,56,39.93,9.66,68.0,9.17
238,Zyryanka,96,RU,1600832946,67,65.75,150.85,48.47,9.06
239,Plettenberg Bay,41,ZA,1600832949,65,-34.05,23.37,54.59,1.77
240,Altay,92,CN,1600832951,40,47.87,88.12,62.11,9.4
241,Lyubytino,7,RU,1600832953,94,58.81,33.39,45.14,3.27
242,Kayerkan,100,RU,1600832956,75,69.35,87.76,46.4,22.37
243,Kavaratti,20,IN,1600832958,83,10.57,72.64,82.4,9.17
244,Aurillac,90,FR,1600832960,100,44.92,2.45,55.4,4.7
245,Kindu,57,CD,1600832965,92,-2.95,25.95,70.29,2.04
246,San Rafael,95,AR,1600832934,30,-34.62,-68.33,61.29,7.02
247,Dunedin,100,NZ,1600832843,78,-45.87,170.5,54.0,4.0
248,Salalah,90,OM,1600832970,94,17.02,54.09,78.8,6.93
249,Pincher Creek,0,CA,1600832973,87,49.48,-113.95,48.99,4.7
250,Hvide Sande,0,DK,1600832975,76,56.0,8.13,55.99,4.0
251,Zhigansk,22,RU,1600832976,53,66.77,123.37,51.58,2.66
252,Lebu,90,CL,1600832979,86,-37.62,-73.65,47.61,15.88
253,Oktyabr'skoye,0,RU,1600832981,93,43.06,44.74,44.6,4.47
254,Mandalgovi,62,MN,1600832982,30,45.76,106.27,62.89,10.04
255,Saquarema,100,BR,1600832985,90,-22.92,-42.51,66.65,11.72
256,Primorsko-Akhtarsk,0,RU,1600832986,62,46.05,38.17,60.08,9.73
257,Kanye,11,BW,1600832988,94,-24.97,25.33,46.85,15.75
258,Ngunguru,67,NZ,1600832990,76,-35.62,174.5,64.0,10.0
259,Hasaki,75,JP,1600832992,78,35.73,140.83,75.2,9.17
260,Azul,100,AR,1600832994,59,-36.78,-59.86,54.0,7.94
261,Saskylakh,3,RU,1600832998,54,71.92,114.08,51.17,19.48
262,Carnarvon,0,AU,1600832940,7,-24.87,113.63,89.6,19.46
263,Orlik,50,RU,1600833001,44,52.52,99.83,55.94,2.8
264,Devils Lake,1,US,1600833003,45,48.11,-98.87,68.0,8.05
265,San Juan Evangelista,18,MX,1600833006,87,17.9,-95.13,72.23,3.83
266,Sirte,6,LY,1600833008,48,31.21,16.59,76.3,12.73
267,Laas,75,IT,1600833010,100,46.62,10.7,53.6,3.36
268,Ust-Nera,96,RU,1600833012,52,64.57,143.2,48.16,5.37
269,São João da Barra,100,BR,1600833014,88,-21.64,-41.05,68.16,24.34
270,Isangel,75,VU,1600833016,58,-19.55,169.27,82.4,11.41
271,Moindou,75,NC,1600833018,50,-21.69,165.68,78.8,11.41
272,Lavrentiya,99,RU,1600833020,80,65.58,-171.0,40.68,5.66
273,Lampa,100,CL,1600833022,48,-33.28,-70.9,64.0,3.36
274,Esperance,75,AU,1600833024,63,-33.87,121.9,60.8,3.36
275,Nome,75,US,1600833026,53,64.5,-165.41,50.0,8.05
276,Harper,94,LR,1600833027,90,4.38,-7.72,75.27,9.48
277,Whitehorse,90,CA,1600832980,57,60.72,-135.05,50.0,8.05
278,Mount Isa,46,AU,1600833033,25,-20.73,139.5,84.2,11.41
279,Leshukonskoye,58,RU,1600833035,87,64.9,45.76,42.04,10.09
280,Reconquista,0,AR,1600833036,80,-29.15,-59.65,52.75,6.02
281,Matamoros,11,MX,1600833039,30,25.53,-103.25,73.99,2.64
282,Kirakira,65,SB,1600833040,79,-10.45,161.92,82.45,8.59
283,Nantucket,1,US,1600832990,42,41.28,-70.1,62.6,17.22
284,Moose Factory,90,CA,1600833045,100,51.26,-80.61,53.6,4.7
285,Jardim,0,BR,1600833048,81,-21.48,-56.14,67.26,4.52
286,Yefremov,0,RU,1600833051,86,53.15,38.1,50.7,7.05
287,Paso de Patria,0,AR,1600833053,60,-27.25,-58.55,62.01,1.01
288,Kaitangata,76,NZ,1600833054,72,-46.28,169.85,55.99,8.99
289,Kaiyuan,100,CN,1600833057,86,23.7,103.3,70.21,3.51
290,Mossamedes,38,AO,1600833060,90,-15.2,12.15,63.25,5.23
291,Romny,0,UA,1600833062,50,50.75,33.47,50.94,5.12
292,Davila,75,PH,1600833064,79,18.47,120.58,86.0,5.82
293,Mount Gambier,90,AU,1600833067,71,-37.83,140.77,53.6,18.34
294,Hofn,100,IS,1600833070,66,64.25,-15.21,40.68,11.88
295,Dingle,13,PH,1600833073,71,11.0,122.67,87.4,6.8
296,Escárcega,5,MX,1600833075,93,18.61,-90.75,74.1,1.03
297,Caravelas,63,BR,1600832894,88,-17.71,-39.25,72.32,5.17
298,Palu,95,ID,1600832947,78,-0.89,119.87,83.3,4.23
299,Barra,50,BR,1600833080,63,-11.09,-43.14,77.22,8.84
300,Palmer,20,US,1600833082,43,42.16,-72.33,55.4,6.93
301,Praia,20,CV,1600833085,94,14.92,-23.51,78.8,6.93
302,Te Anau,61,NZ,1600833087,61,-45.42,167.72,55.99,7.85
303,Grão Mogol,93,BR,1600833089,85,-16.56,-42.89,66.99,6.2
304,Lagoa,100,PT,1600833092,78,39.05,-27.98,68.0,25.26
305,Dawei,100,MM,1600833094,66,14.08,98.2,87.49,2.3
306,Kroya,27,ID,1600833097,65,-7.63,109.25,73.0,9.1
307,Kidal,7,ML,1600833098,38,18.44,1.41,85.6,2.95
308,Dudinka,100,RU,1600833100,75,69.41,86.18,46.4,24.61
309,Río Gallegos,75,AR,1600833085,64,-51.62,-69.22,44.6,11.41
310,Bathsheba,20,BB,1600833106,78,13.22,-59.52,82.4,9.17
311,Mareeba,1,AU,1600833109,61,-17.0,145.43,87.01,10.29
312,Margate,27,GB,1600833111,73,51.38,1.39,63.0,3.0
313,Iqaluit,90,CA,1600833112,86,63.75,-68.51,33.8,20.8
314,Coracora,0,PE,1600833115,60,-15.03,-73.78,45.48,1.72
315,Dwārka,22,IN,1600833117,79,22.24,68.97,84.36,15.17
316,Calabozo,53,VE,1600833119,90,8.92,-67.43,76.68,3.29
317,Coyhaique,75,CL,1600833016,70,-45.58,-72.07,42.8,2.24
318,Ulladulla,4,AU,1600833123,30,-35.35,150.47,69.8,25.28
319,Port Augusta,90,AU,1600833127,55,-32.5,137.77,62.6,17.22
320,Yangi Marg`ilon,5,UZ,1600833129,39,40.43,71.72,62.6,6.93
321,Jizan,76,SA,1600833130,79,17.33,42.67,87.8,1.7
322,Sinop Province,0,TR,1600832993,55,41.77,34.87,58.24,2.39
323,Kyzyl-Suu,0,KG,1600833137,43,42.34,78.0,56.93,4.07
324,Ossora,15,RU,1600833139,63,59.24,163.07,44.89,4.5
325,Horta,100,PT,1600833141,82,38.53,-28.63,67.86,24.27
326,Xinyang,88,CN,1600833143,75,32.12,114.07,70.83,6.04
327,Norrköping,0,SE,1600833146,100,58.59,16.18,46.4,2.24
328,Tiarei,20,PF,1600833148,58,-17.53,-149.33,82.4,13.87
329,Sept-Îles,75,CA,1600833149,93,50.2,-66.38,44.01,2.24
330,Doka,12,SD,1600833151,95,13.52,35.77,70.48,8.23
331,Fare,26,PF,1600833155,80,-16.7,-151.02,78.96,16.87
332,Novoselytsya,0,UA,1600833157,66,48.22,26.27,50.0,5.08
333,Dolores,98,AR,1600833159,89,-36.31,-57.68,46.96,7.05
334,Nishihara,75,JP,1600833161,70,26.18,127.76,87.8,9.17
335,Taksimo,66,RU,1600833162,63,56.34,114.88,54.19,1.77
336,Boli,95,CN,1600833163,76,45.77,130.52,62.85,1.48
337,Boké,92,GN,1600833165,95,10.94,-14.3,73.36,1.61
338,Pierre,1,US,1600833166,53,44.37,-100.35,73.99,8.05
339,Mangai,53,CD,1600833167,95,-4.05,19.53,68.79,1.9
340,Hilton Head,1,US,1600833004,93,32.22,-80.75,63.0,4.0
341,Vidim,100,RU,1600833170,52,56.41,103.11,51.78,5.55
342,Tautira,20,PF,1600833172,58,-17.73,-149.15,82.4,13.87
343,Faya,68,SA,1600833174,17,18.39,42.45,62.6,6.38
344,Manokwari,63,ID,1600833177,69,-0.87,134.08,84.76,11.12
345,Pastavy,0,BY,1600833178,90,55.12,26.83,51.22,6.6
346,Puerto Cabezas,21,NI,1600833179,82,14.04,-83.39,79.16,5.99
347,Barra do Corda,20,BR,1600833181,74,-5.5,-45.25,77.27,5.12
348,Makakilo City,40,US,1600833183,51,21.35,-158.09,86.0,8.05
349,Wairoa,100,NZ,1600833184,63,-39.03,177.37,61.45,8.21
350,Povenets,79,RU,1600833185,78,62.85,34.83,41.29,6.35
351,Morehead,1,US,1600833186,100,37.27,-87.18,60.8,0.81
352,Mazagão,20,BR,1600833188,83,-0.12,-51.29,82.4,5.82
353,Bairiki Village,20,KI,1600833191,58,1.33,172.98,87.8,14.99
354,Port Hardy,90,CA,1600833192,82,50.7,-127.42,57.2,20.8
355,Moen,75,NO,1600833198,79,69.13,18.61,33.01,13.87
356,Onega,84,RU,1600833200,74,63.91,38.14,43.79,11.25
357,Zeya,100,RU,1600833202,54,53.75,127.27,59.88,6.31
358,Clyde River,1,CA,1600833204,85,70.47,-68.59,17.6,4.7
359,Kontagora,13,NG,1600833206,92,10.4,5.47,71.33,3.6
360,Arona,20,ES,1600833208,88,28.1,-16.68,73.4,4.7
361,Pennāgaram,20,IN,1600833210,74,12.13,77.9,80.6,5.82
362,Balabac,97,PH,1600833211,68,7.99,117.06,86.59,9.4
363,Talara,18,PE,1600833212,87,-4.58,-81.27,63.12,11.99
364,Araouane,28,ML,1600833215,35,18.9,-3.53,90.37,14.45
365,Razdol'noye,75,RU,1600833217,56,43.55,131.92,69.8,6.71
366,Hīt,0,IQ,1600833220,32,33.64,42.83,80.29,8.79
367,Camaná,21,PE,1600833222,78,-16.62,-72.71,60.67,5.95
368,Hong Kong,57,HK,1600832935,71,22.29,114.16,89.01,4.0
369,Suntar,0,RU,1600833224,42,62.14,117.63,59.65,6.91
370,Arrondissement de Bastia,34,FR,1600833226,88,42.67,9.33,66.99,4.7
371,Aldergrove,90,CA,1600832935,72,49.06,-122.47,62.6,5.82
372,Tsiroanomandidy,0,MG,1600833232,61,-18.77,46.03,64.58,3.69
373,Kāngar,0,IN,1600833234,49,32.1,76.27,82.17,4.27
374,Kavieng,59,PG,1600833235,61,-2.57,150.8,86.13,8.14
